name,full_text,protasis,apodosis,witnesses,animal
"""32.A.69""",If a lizard climbs onto a man and moves about – that man .,If a lizard climbs onto a man and moves about,that man .,['VAT  10167'],lizard
"""32.A.70""",If a lizard  jumps  a man – that man .,If a lizard  jumps  a man,that man .,['VAT  10167'],lizard
"""32.A.56""",If a lizard dies in water or in beer and is thereby seen – that house will incur a loss.,If a lizard dies in water or in beer and is thereby seen,that house will incur a loss.,['VAT  10167'],lizard
"""32.A.57""",If a lizard gives birth under the sutu-measurement vessel of a man's house – desertion of the house.,If a lizard gives birth under the sutu-measurement vessel of a man's house,desertion of the house.,['VAT  10167'],lizard
"""32.A.57""",If a lizard gives birth under the sutu-measures of a man's house–abandonment of the house.,If a lizard gives birth under the sutu-measures of a man's house,abandonment of the house.,['VAT  10167'],lizard
"""32.A.58""",If a lizard gives birth under the millstone – the owner of that house will be saved by the will of the king.,If a lizard gives birth under the millstone,the owner of that house will be saved by the will of the king.,['VAT  10167'],lizard
"""32.A.59""",If a lizard gives birth in a woman's kettle – that woman will have twins; she will go about unhappily.,If a lizard gives birth in a woman's kettle,that woman will have twins; she will go about unhappily.,['VAT  10167'],lizard
"""32.A.60""",If a lizard gives birth in the path of a man's house – abandonment of the house.,If a lizard gives birth in the path of a man's house,abandonment of the house.,['VAT  10167'],lizard
"""32.A.107""",If lizards  fall onto  and separate–darkness for one day.,If lizards  fall onto  and separate,darkness for one day.,"['VAT 09793', 'VAT 09793', 'VAT  10167', 'VAT  10167', 'VAT  10167']",lizards
"""32.A.84""","If a lizard encircles a man's neck – a remote enemy will know his fate, but, as long as that man lives, the matter will be unknown to him; he won't hear the report.",If a lizard encircles a man's neck," a remote enemy will know his fate, but, as long as that man lives, the matter will be unknown to him; he won't hear the report.",['VAT  10167'],lizard
"""32.A.85""","If a lizard leaves from on a man's leg, turns and jumps onto him – that man will escape from privation and hardship and will walk along a safe path.","If a lizard leaves from on a man's leg, turns and jumps onto him ",that man will escape from privation and hardship and will walk along a safe path.,"['VAT  10167', 'VAT  10167']",lizard
"""32.A.8""",If a lizard  falls on  a man – someone will file a lawsuit against him.,If a lizard  falls on  a man,someone will file a lawsuit against him.,['VAT 10167'],lizard
"""32.A.9""",If a lizard falls behind a man and flops about repeatedly – he will experience evil.,If a lizard falls behind a man and flops about repeatedly,he will experience evil.,"['VAT 10167', 'VAT 10167', 'VAT 10167']",lizard
"""32.A.10""",If a lizard falls  a man and touches him – his fortress will experience a negative twist of fate.,If a lizard falls  a man and touches him,his fortress will experience a negative twist of fate.,['VAT 10167'],lizard
"""32.A.11""",If a lizard  falls on top of a man – that man will consume a large share.,If a lizard  falls on top of a man,that man will consume a large share.,['VAT 10167'],lizard
"""32.A.131""",If a lizard in the ḫaruru of a millstone–dispersal of the house.,If a lizard  ditto in the ḫaruru of a millstone,dispersal of the house.,['VAT  10167'],lizard
"""32.A.132""",If a lizard –abandonment of the house.,If a lizard,abandonment of the house.,['VAT  10167'],lizard
"""32.A.19""",If a lizard falls onto a man's left foot – he will acquire a twitching in his feet.,If a lizard falls onto a man's left foot,he will acquire a twitching in his feet.,['VAT 10167'],lizard
"""32.A.20""",If a lizard falls onto a man's forehead and strike him – that man: unexpected news will reach him.,If a lizard falls onto a man's forehead and strike him,that man: unexpected news will reach him.,['VAT 10167'],lizard
"""32.A.21""",If a lizard falls on a man's stool – an eclipse during the daywatch.,If a lizard falls on a man's stool,an eclipse during the daywatch.,['VAT 10167'],lizard
"""32.A.21""",If a lizard falls onto a man's chair – darkness in the midday watch.,If a lizard falls onto a man's chair,darkness in the midday watch.,['VAT 10167'],lizard
"""32.A.46""",If a lizard falls into a pot – there will be a cry of distress in the man's house.,If a lizard falls into a pot,there will be a cry of distress in the man's house.,"['VAT  10167', 'VAT  10167', 'VAT  10167']",lizard
"""32.A.47""",If a lizard falls into a full storage-bin – that house will need grain.,If a lizard falls into a full storage-bin,that house will need grain.,['VAT  10167'],lizard
"""32.A.48""",If a lizard falls into an empty storage-bin – that house will have plenty of bread.,If a lizard falls into an empty storage-bin,that house will have plenty of bread.,['VAT  10167'],lizard
"""32.A.49""",If a lizard enters a leather bag and lies down – that man will be vexed.,If a lizard enters a leather bag and lies down,that man will be vexed.,['VAT  10167'],lizard
